,Instance_ID,Hardship,Justify,Oct_7_Attack,Conflict_Year,Date,Source,Article_ID,Entity,Side,Civilian_Status,Location,Phrases
18,IG_Hard_19 ID_Past Conflicts_AJE_127,Casualties,Wael Samouni's story includes the death of four immediate family members and describes a mass casualty event where about 30 people were killed and many others wounded due to shelling.,No,2008,11 January 2009,AJE,ID_Past Conflicts_AJE_127,Wael Samouni,Palestine,Civilian,Gaza,"{'Wael Samouni, a civilian who said four of his immediate family members died in the attack'}"
19,IG_Hard_20 ID_Past Conflicts_AJE_13,Imprisonment and Detention,"Ahmed Baccar describes being hassled and arrested by the police for no reason, indicating experiences of detention and harassment.",No,2008,28 December 2008,AJE,ID_Past Conflicts_AJE_13,Ahmed Baccar,Palestine,Civilian,Other,"{'The police ""think they can appease us by joking with us, but they hassle us all the time, they arrest us for nothing and then they\'re surprised that we fight back"", said Ahmed Baccar, a 20-year-old unemployed Palestinian.'}"
20,IG_Hard_21 ID_Past Conflicts_AJE_13,Casualties,"Rached El Ali describes children being hit and attacked by dogs, indicating physical harm and violence against minors, which falls under casualties as the most severe hardship mentioned in his story.",No,2008,28 December 2008,AJE,ID_Past Conflicts_AJE_13,Rached El Ali,Palestine,Civilian,Other,"{'His friend Rached El Ali, an 18-year-old Palestinian, said: ""And they hit 11- and 12-year-old kids, set their dogs on us like they did yesterday, and then you want us to like them.""'}"
21,IG_Hard_22 ID_Past Conflicts_AJE_137,Casualties,"Ahmed's story includes witnessing the deaths of his mother and four brothers, as well as other family members killed in the shelling, which is the most severe hardship described.",No,2008,12 January 2009,AJE,ID_Past Conflicts_AJE_137,Ahmed,Palestine,Civilian,Gaza,"{'We were put in an ambulance, but there were still people inside the house, dead and injured, Ahmed told Al Jazeera. ""For days we all bled. We were so hungry; I remember giving my brother Isaac a tomato to eat before he died.""'}"
22,IG_Hard_23 ID_Past Conflicts_AJE_137,Casualties,"Ahmed Samouni's story includes the killing of his mother and four brothers, as well as at least 30 members of his extended family, making casualties the most severe hardship described.",No,2008,12 January 2009,AJE,ID_Past Conflicts_AJE_137,Ahmed Samouni,Palestine,Civilian,Gaza,"{'Ahmed Samouni, who was left for days amidst the dead bodies of his mother and four brothers, witnessed what many are calling a massacre. The horror that the 16-year-old has seen is hard for him to put into words, but the effects are written all over his face.'}"
23,IG_Hard_24 ID_Past Conflicts_AJE_137,Casualties,"Abdullah was trapped in a house surrounded by the dead bodies of his cousins and uncles, indicating multiple deaths (casualties) in his immediate environment, which is the most severe hardship described in his story.",No,2008,12 January 2009,AJE,ID_Past Conflicts_AJE_137,Six year-old Abdullah,Palestine,Civilian,Gaza,"{'Six year-old Abdullah was trapped inside the same house as Ahmed, surrounded by his dead cousins and uncles. Terrified and distraught he struggled to speak.'}"
24,IG_Hard_25 ID_Past Conflicts_AJE_137,Casualties,"Wael's story includes the death of multiple family members (his son was thought dead, and he wants to bury the rest of his family), as well as injuries and severe trauma. The most severe hardship is the casualties (deaths) among his family.",No,2008,12 January 2009,AJE,ID_Past Conflicts_AJE_137,"Wael, Abdullah's father",Palestine,Civilian,Gaza,"{""Wael, Abdullah's father, escaped on the first day of the Israeli raid. For four days he thought his son was dead. I didn't know what to do, I still don't ... look at him he is so ill, they are all terrified, Weal said. He cries all the time. His shoulder is hurt and it has infection but he cant stand the smell, he cries when he looks and smells his wounds. And his leg, look. I want to take him out of Gaza for treatment and I want to be able to go back to the house and get the rest of my family so that I can bury them.""}"
25,IG_Hard_26 ID_Past Conflicts_AJE_15,Casualties,"Tawfiq Jabber, the Gaza chief of police, is mentioned among the dead in the series of Israeli airstrikes, indicating he was killed, which is the most severe hardship in his story.",No,2008,28 December 2008,AJE,ID_Past Conflicts_AJE_15,Tawfiq Jabber,Palestine,Civilian,Gaza,"{'including Tawfiq Jabber, the Gaza chief of police'}"
26,IG_Hard_27 ID_Past Conflicts_AJE_156,Casualties,"Amal is a young girl in Gaza who is part of the group of children suffering from the ongoing war, which has resulted in over 300 children killed and hundreds wounded. The story also includes direct accounts of children being shot and wounded, making 'Casualties' the most severe hardship mentioned in Amal's narrative.",No,2008,15 January 2009,AJE,ID_Past Conflicts_AJE_156,Amal,Palestine,Civilian,Gaza,"{'Amal, another young girl, wailed: ""We have nothing to do with this, we don\'t fire rockets, we don\'t know what this war is about.""'}"
27,IG_Hard_28 ID_Past Conflicts_AJE_156,Casualties,"Samar, a young girl, was shot and wounded, suffering serious physical injuries, which constitutes casualties. This is the most severe hardship in her story.",No,2008,15 January 2009,AJE,ID_Past Conflicts_AJE_156,Samar,Palestine,Civilian,Gaza,"{'I saw the soldier standing next to the shop. I looked for my mum and then he shot me. One bullet hit my hand and the other went through my back and out through my stomach, Samar, a young girl, told Al Jazeera while recovering from her wounds at a Gaza hospital.'}"
28,IG_Hard_29 ID_Past Conflicts_AJE_158,Casualties,"Mays al-Khatib's story includes her building coming under attack and collapsing, and she was among 500 families under bombardment. The article also mentions at least 1,054 Palestinians killed and over 4,800 injured in the ongoing violence, which is the most severe hardship in her narrative.",No,2008,15 January 2009,AJE,ID_Past Conflicts_AJE_158,Mays al-Khatib,Palestine,Civilian,Gaza,"{'Mays al-Khatib, a Gaza resident, was speaking to Al Jazeera on the telephone when her building came under attack.'}"
29,IG_Hard_30 ID_Past Conflicts_AJE_16,Casualties,"Tawfiq Jabber, the Gaza chief of police, is mentioned among the many police officers who were killed in the attacks, indicating that he was a casualty.",No,2008,28 December 2008,AJE,ID_Past Conflicts_AJE_16,Tawfiq Jabber,Palestine,Military,Gaza,"{'including Tawfiq Jabber, the Gaza chief of police.'}"
30,IG_Hard_31 ID_Past Conflicts_AJE_166,Casualties,"Ayman Alkurd, Shadi Sbakhe, and Wajeh Moshtahe are reported to have been killed in bombing raids on their homes, which is the most severe hardship described.",No,2008,15 January 2009,AJE,ID_Past Conflicts_AJE_166,"Ayman Alkurd, Shadi Sbakhe and Wajeh Moshtahe",Palestine,Civilian,Gaza,"{""the players are current national team member Ayman Alkurd of club side Falasteen Al-Ryadi, Shadi Sbakhe from club side Khadamat Alniserat and 24 year-old Wajeh Moshtahe, a midfielder for Gaza's Ittihad Alshojaeya club.""}"
31,IG_Hard_32 ID_Past Conflicts_AJE_171,Casualties,"Nizar Rayyan, his four wives, and 13 children were killed in an Israeli air strike, which is the most severe hardship described in his story.",No,2008,15 January 2009,AJE,ID_Past Conflicts_AJE_171,Nizar Rayyan,Palestine,Military,Gaza,"{'the most senior Hamas figure Israel had killed since launching its deadly offensive on Gaza was Nizar Rayyan, who was killed along with his four wives and 13 children in an Israeli air strike on his house.'}"
32,IG_Hard_33 ID_Past Conflicts_AJE_171,Casualties,"Said Siam, his son, and his brother were killed in an Israeli air raid, which is the most severe hardship described in his story.",No,2008,15 January 2009,AJE,ID_Past Conflicts_AJE_171,Said Siam,Palestine,Military,Gaza,"{'Said Siam, who was the interior minister in Hamas’s government, was killed along with one of his sons and a brother in an air raid in Jabalya refugee camp on Thursday.'}"
33,IG_Hard_34 ID_Past Conflicts_AJE_172,Casualties,"Bassam Abdallah describes the bombing of tunnels that shook the Rafah refugee camp, and his story is embedded in an article detailing over 1,000 Palestinians killed, thousands injured, and widespread destruction and displacement. The most severe hardship in his story is the mass casualties resulting from the conflict.",No,2008,15 January 2009,AJE,ID_Past Conflicts_AJE_172,Bassam Abdallah,Palestine,Civilian,Gaza,"{'The land trembled beneath our feet, Bassam Abdallah, a local Palestinian cameraman, said.'}"
34,IG_Hard_35 ID_Past Conflicts_AJE_172,Casualties,"Hossein's story includes the destruction of the house next door due to fighting, which implies casualties and severe danger, and is set within a broader context of over 1,000 Palestinians killed and thousands injured in the conflict.",No,2008,15 January 2009,AJE,ID_Past Conflicts_AJE_172,Hossein,Palestine,Civilian,Gaza,"{""Hossein, who took his wife and five children to the hospital shortly after the tanks rolled in after dawn, said. The house next door was completely destroyed in the fighting so we had to get out of there. We can't take this any longer. Look at my children, they're trembling.""}"
35,IG_Hard_36 ID_Past Conflicts_AJE_172,Humanitarian Aid and Dependence,"Huwaida Arraf's story centers on her involvement with a medical aid boat attempting to break the blockade of Gaza, which was intercepted and threatened by Israeli naval forces. The most severe hardship in her story is the prevention of humanitarian aid delivery to a population under blockade.",No,2008,15 January 2009,AJE,ID_Past Conflicts_AJE_172,Huwaida Arraf,Palestine,Civilian,Other,"{'Huwaida Arraf, an organiser with the US-based Free Gaza Movement, said that the boat was intercepted about 100 miles northeast of Gaza. They got very close and they threatened that if we continued they would open fire on us, she told the Reuters news agency.'}"
36,IG_Hard_37 ID_Past Conflicts_AJE_172,Casualties,"Mays al-Khatib's story includes her building coming under attack and collapsing, with her and around 500 families under bombardment. The most severe hardship in her story is the direct threat to life and potential casualties from the attack and building collapse.",No,2008,15 January 2009,AJE,ID_Past Conflicts_AJE_172,Mays al-Khatib,Palestine,Civilian,Gaza,"{'Mays al-Khatib, a Gaza resident, was speaking to Al Jazeera on the telephone when her building came under attack.'}"
37,IG_Hard_38 ID_Past Conflicts_AJE_173,Casualties,"The individual identified as 'A Palestinian' was shot dead during a protest, which is the most severe hardship mentioned in the story.",No,2008,16 January 2009,AJE,ID_Past Conflicts_AJE_173,A Palestinian,Palestine,Civilian,West Bank,{'A Palestinian has been shot dead'}
38,IG_Hard_39 ID_Past Conflicts_AJE_174,Casualties,"Nizar Rayyan, his four wives, and 13 children were all killed in an Israeli air attack, which is the most severe hardship described in his story.",No,2008,16 January 2009,AJE,ID_Past Conflicts_AJE_174,Nizar Rayyan,Palestine,Government,Gaza,"{'Nizar Rayyan, who was killed along with his four wives and 13 children in an Israeli air attack on his house.'}"
39,IG_Hard_40 ID_Past Conflicts_AJE_174,Casualties,"Said Siam, his son, and his brother were all killed in an Israeli air raid, which is the most severe hardship described in his story.",No,2008,16 January 2009,AJE,ID_Past Conflicts_AJE_174,Said Siam,Palestine,Government,Gaza,"{""Said Siam, who was the interior minister in Hamas's government, was killed along with one of his sons and a brother in an air raid in Jabaliya refugee camp on Thursday.""}"
40,IG_Hard_41 ID_Past Conflicts_AJE_174,Casualties,"Sheikh Ahmed Yassin is mentioned as having been killed by an Israeli air strike, which is a case of casualties and the most severe hardship in his story.",No,2008,16 January 2009,AJE,ID_Past Conflicts_AJE_174,Sheikh Ahmed Yassin,Palestine,Government,Gaza,"{'Sheikh Ahmed Yassin, the founder and spiritual leader of Hamas who was also killed by an Israeli air strike'}"
41,IG_Hard_42 ID_Past Conflicts_AJE_175,Casualties,"Sheikh Ahmed Yassin is mentioned as having been killed by an Israeli air strike, which is a case of casualties and the most severe hardship in his story.",No,2008,16 January 2009,AJE,ID_Past Conflicts_AJE_175,Nizar Rayyan,Palestine,Government,Gaza,"{'Nizar Rayyan, who was killed along with his four wives and 13 children in an Israeli air attack on his house.'}"
42,IG_Hard_43 ID_Past Conflicts_AJE_175,Casualties,"Sheikh Ahmed Yassin is mentioned as having been killed by an Israeli air strike, which is a case of casualties and the most severe hardship in his story.",No,2008,16 January 2009,AJE,ID_Past Conflicts_AJE_175,Said Siam,Palestine,Government,Gaza,"{""Said Siam, who was the interior minister in Hamas's government, was killed along with one of his sons and a brother in an air raid in Jabaliya refugee camp on Thursday.""}"
43,IG_Hard_44 ID_Past Conflicts_AJE_175,Casualties,"Sheikh Ahmed Yassin is mentioned as having been killed by an Israeli air strike, which is a case of casualties and the most severe hardship in his story.",No,2008,16 January 2009,AJE,ID_Past Conflicts_AJE_175,Sheikh Ahmed Yassin,Palestine,Government,Gaza,"{'Sheikh Ahmed Yassin, the founder and spiritual leader of Hamas who was also killed by an Israeli air strike'}"
44,IG_Hard_45 ID_Past Conflicts_AJE_18,Casualties,"Tawfiq Jabber is mentioned as one of the police officers killed in the attacks, which is the most severe hardship in his story.",No,2008,29 December 2008,AJE,ID_Past Conflicts_AJE_18,Tawfiq Jabber,Palestine,Government,Gaza,"{'including Tawfiq Jabber, the Gaza chief of police.'}"
45,IG_Hard_46 ID_Past Conflicts_AJE_182,Casualties,"Hatem Shurrab's story includes witnessing regular explosions, homes being burnt, and mass displacement, but the most severe hardship mentioned is the killing of a woman and her five children, as well as the deaths of at least 10 people in a funeral wake and the assassination of Said Siam and his family members.",No,2008,16 January 2009,AJE,ID_Past Conflicts_AJE_182,Hatem Shurrab,Palestine,Civilian,Gaza,"{'Hatem Shurrab, a Gaza resident living near Tar al-Hawa in Gaza City, which has experienced some of the heaviest fighting, told Al Jazeera that regular explosions could still be heard.'}"
46,IG_Hard_47 ID_Past Conflicts_AJE_182,Casualties,"Said Siam was assassinated in an air raid, which is a clear case of casualties and is the most severe hardship mentioned in his story.",No,2008,16 January 2009,AJE,ID_Past Conflicts_AJE_182,Said Siam,Palestine,Government,Gaza,"{""a funeral was held for Said Siam, the interior minister in Hamas's government, who was assassinated on Thursday""}"
47,IG_Hard_48 ID_Past Conflicts_AJE_182,Casualties,"The story describes that a woman and her five children, all under the age of 13, were killed when an air raid destroyed their house in Jabaliya. Death is the most severe hardship mentioned.",No,2008,16 January 2009,AJE,ID_Past Conflicts_AJE_182,"a woman and her five children, all under the age of 13",Palestine,Civilian,Gaza,"{'a woman and her five children, all under the age of 13, were killed when an air raid destroyed their house in Jabaliya, north of Gaza City, according to medics.'}"
48,IG_Hard_49 ID_Past Conflicts_AJE_183,Casualties,"Abdul Aziz al-Rantissi's story mentions that he was killed by Israel in 2005, which is a case of casualties and is the most severe hardship in his narrative.",No,2008,16 January 2009,AJE,ID_Past Conflicts_AJE_183,Abdul Aziz al-Rantissi,Palestine,Government,Gaza,"{'such as Sheikh Ahmed Yasin and Abdul Aziz al-Rantissi, both killed by Israel in 2005'}"
49,IG_Hard_50 ID_Past Conflicts_AJE_183,Displacement and Refugees,"Hatem Shurrab's story includes his sister's family coming to his home to shelter, and he describes witnessing mass internal displacement with women running in the street trying to find a place, indicating displacement as the most severe hardship in his narrative.",No,2008,16 January 2009,AJE,ID_Past Conflicts_AJE_183,Hatem Shurrab,Palestine,Civilian,Gaza,"{""Hatem Shurrab, a Gaza resident living near Tar al-Hawa in Gaza City, which has experienced some of the heaviest fighting, told Al Jazeera on Friday morning: I have my sister's family who came to our home to shelter. It's very difficult to describe how we feel. It's very scary. The next target is not known. Who will be killed next, we don't know.""}"
50,IG_Hard_51 ID_Past Conflicts_AJE_183,Casualties,"Said Siam, the interior minister in Hamas's government, was assassinated in an air raid along with one of his sons and a brother, which constitutes the most severe hardship of casualties (death).",No,2008,16 January 2009,AJE,ID_Past Conflicts_AJE_183,Said Siam,Palestine,Government,Gaza,"{""A funeral is being held for Said Siam, the interior minister in Hamas's government assassinated on Thursday along with one of his sons and a brother in an air raid in Jabaliya refugee camp.""}"
51,IG_Hard_52 ID_Past Conflicts_AJE_183,Casualties,"Sheikh Ahmed Yasin is mentioned as having been killed by Israel in 2005, which is a case of casualties and is the most severe hardship in his story.",No,2008,16 January 2009,AJE,ID_Past Conflicts_AJE_183,Sheikh Ahmed Yasin,Palestine,Government,Gaza,"{'such as Sheikh Ahmed Yasin and Abdul Aziz al-Rantissi, both killed by Israel in 2005'}"
52,IG_Hard_53 ID_Past Conflicts_AJE_186,Casualties,"Dr Ezzedine Abu al-Aish's story includes the killing of his three daughters and one niece during an Israeli air attack, which is the most severe hardship described.",No,2008,17 January 2009,AJE,ID_Past Conflicts_AJE_186,Dr Ezzedine Abu al-Aish,Palestine,Civilian,Gaza,"{'Dr Ezzedine Abu al-Aish, a Palestinian doctor from al-Shifa hospital, lost his three daughters and one niece during an Israeli air attack'}"
53,IG_Hard_54 ID_Past Conflicts_AJE_190,Casualties,"The story of 'One Palestinian civilian' is that they died near Khan Younis after being hit by mortar fire, which is a clear case of casualties (death).",No,2008,19 January 2009,AJE,ID_Past Conflicts_AJE_190,One Palestinian civilian,Palestine,Civilian,Gaza,{'One Palestinian civilian died near Khan Younis after being hit by mortar fire.'}
54,IG_Hard_55 ID_Past Conflicts_AJE_190,Casualties,"The story of 'one civilian' in Khan Younis is that they were killed by Israeli military action, which is a clear case of casualties and is the most severe hardship mentioned in their narrative.",No,2008,19 January 2009,AJE,ID_Past Conflicts_AJE_190,one civilian,Palestine,Civilian,Gaza,{'killing one civilian in Khan Younis'}
55,IG_Hard_56 ID_Past Conflicts_AJE_20,Casualties,"The story of 'one protester' includes the killing of the protester and the critical injury of two others by Israeli fire, which constitutes casualties as the most severe hardship.",No,2008,29 December 2008,AJE,ID_Past Conflicts_AJE_20,one protester,Palestine,Civilian,West Bank,{'one protester was killed and at least two others critically injured by Israeli fire at a protest near Ramallah on Sunday.'}
56,IG_Hard_57 ID_Past Conflicts_AJE_21,Casualties,"The story of 'one protester' includes the mention of a protester being killed and others critically injured by Israeli fire, which constitutes casualties as the most severe hardship.",No,2008,29 December 2008,AJE,ID_Past Conflicts_AJE_21,one protester,Palestine,Civilian,West Bank,{'one protester was killed and at least two others critically injured by Israeli fire at a protest near Ramallah on Sunday.'}
57,IG_Hard_58 ID_Past Conflicts_AJE_22,Casualties,"Tawfiq Jabber, the Gaza chief of police, is mentioned as one of the police officers killed in the airstrikes, which is the most severe hardship in his story.",No,2008,29 December 2008,AJE,ID_Past Conflicts_AJE_22,"Tawfiq Jabber, the Gaza chief of police",Palestine,Government,Gaza,"{'including Tawfiq Jabber, the Gaza chief of police'}"
58,IG_Hard_59 ID_Past Conflicts_AJE_22,Casualties,"The story of 'one person' is that they died in the strikes on the tunnels, which is a direct case of casualties and the most severe hardship mentioned in their narrative.",No,2008,29 December 2008,AJE,ID_Past Conflicts_AJE_22,one person,Palestine,Civilian,Gaza,{'at least one person died [...] in the strikes on the tunnels'}
59,IG_Hard_60 ID_Past Conflicts_AJE_26,Casualties,"The story of the Israeli Arab centers on their death from a missile strike in Ashkelon, which is the most severe hardship mentioned.",No,2008,30 December 2008,AJE,ID_Past Conflicts_AJE_26,an Israeli Arab,Israel,Civilian,Israel,{'an Israeli Arab was killed'}
60,IG_Hard_61 ID_Past Conflicts_AJE_30,Inflicted upon others,"Ben-Ami Kadish admitted to passing classified US military documents to Israel, which constitutes espionage and the infliction of hardship upon others (the US government and its security interests). There is no mention of direct personal hardship experienced by Kadish or others in his story except for the consequences of his actions on others.",No,2008,30 December 2008,AJE,ID_Past Conflicts_AJE_30,Ben-Ami Kadish,Israel,Civilian,Other,"{'An 85-year-old former US army engineer has admitted passing classified military documents to Israel during the 1980s, prosecutors say.'}"
61,IG_Hard_62 ID_Past Conflicts_AJE_32,Casualties,"The most severe hardship in the story of 'one protester' is that the protester was wounded by gunfire, which constitutes a casualty and is more severe than other hardships mentioned in the protester's narrative.",No,2008,30 December 2008,AJE,ID_Past Conflicts_AJE_32,one protester,Palestine,Civilian,Other,{'one protester was wounded when a consular guard opened fire'}
62,IG_Hard_63 ID_Past Conflicts_AJE_33,Casualties,The most severe hardship in the Palestinian medic's story is his death when his ambulance was hit by an Israeli missile.,No,2008,31 December 2008,AJE,ID_Past Conflicts_AJE_33,a Palestinian medic,Palestine,Civilian,Gaza,{'a Palestinian medic was killed when his ambulance was hit by an Israeli missile'}
63,IG_Hard_64 ID_Past Conflicts_AJE_35,Casualties,"The story of the Palestinian medic centers on his death when his ambulance was hit by an Israeli missile, which is a clear case of casualties.",No,2008,31 December 2008,AJE,ID_Past Conflicts_AJE_35,a Palestinian medic,Palestine,Civilian,Gaza,{'a Palestinian medic was killed when his ambulance was hit by an Israeli missile'}
64,IG_Hard_65 ID_Past Conflicts_AJE_4,Casualties,"Ali Hijazi was killed in an Israeli missile attack, which is the most severe hardship mentioned in his story.",No,2008,27 December 2008,AJE,ID_Past Conflicts_AJE_4,"Ali Hijazi, 22",Palestine,Civilian,Gaza,"{""Ali Hijazi, 22, ... wounded in Saturday's incident""}"
65,IG_Hard_66 ID_Past Conflicts_AJE_4,Casualties,"The story of the 'Palestinian man' is that he was killed in an Israeli missile attack, which is the most severe hardship (Casualties) mentioned in his narrative.",No,2008,27 December 2008,AJE,ID_Past Conflicts_AJE_4,Palestinian man,Palestine,Civilian,Gaza,{'a Palestinian man has been killed in an Israeli missile attack'}
